postal_code,nuts3_objectid
7641,BE32857003
7642,BE32857003
7643,BE32857003
7700,BE32854007
7711,BE32854007
7712,BE32854007
7730,BE32857027
7740,BE32857062
7742,BE32857062
7743,BE32857062
7750,BE32857095
7760,BE32857018
7780,BE32854010
7781,BE32854010
7782,BE32854010
7783,BE32854010
7784,BE32854010
7800,BE32A51004
7801,BE32A51004
7802,BE32A51004
7803,BE32A51004
7804,BE32A51004
7810,BE32A51004
7811,BE32A51004
7812,BE32A51004
7822,BE32A51004
7823,BE32A51004
7830,BE32A55039
7850,BE32A55010
7860,BE32A55023
7861,BE32A55023
7862,BE32A55023
7863,BE32A55023
7864,BE32A55023
7866,BE32A55023
7870,BE32353046
7880,BE32A51019
7890,BE32A51017
7900,BE32857094
7901,BE32857094
7903,BE32857094
7904,BE32857094
7906,BE32857094
7910,BE32A51065
7911,BE32A51065
7912,BE32A51065
7940,BE32A51012
7941,BE32A51012
7942,BE32A51012
7943,BE32A51012
7950,BE32A51014
7951,BE32A51014
7970,BE32A51008
7971,BE32A51008
7972,BE32A51008
7973,BE32A51008
8000,BE25131005
8020,BE25131022
8200,BE25131005
8210,BE25131040
8211,BE25131040
8300,BE25131043
8301,BE25131043
8310,BE25131005
8340,BE25131006
8370,BE25131004
8377,BE25131042
8380,BE25131005
8400,BE25535013
8420,BE25535029
8421,BE25535029
8430,BE25535011
8431,BE25535011
8432,BE25535011
8433,BE25535011
8434,BE25535011
8450,BE25535002
8460,BE25535014
8470,BE25535005
8480,BE25535006
8490,BE25131012
8500,BE25434022
8501,BE25434022
8510,BE25434022
8511,BE25434022
8520,BE25434023
8530,BE25434013
8531,BE25434013
8540,BE25434009
8550,BE25434042
8551,BE25434042
8552,BE25434042
8553,BE25434042
8554,BE25434042
8560,BE25434041
8570,BE25434002
8572,BE25434002
8573,BE25434002
8580,BE25434003
8581,BE25434003
8582,BE25434003
8583,BE25434003
8587,BE32834043
8600,BE25232003
8610,BE25232011
8620,BE25838016
8630,BE25838025
8640,BE25333041
8647,BE25232030
8650,BE25232006
8660,BE25838008
8670,BE25838014
8680,BE25232010
8690,BE25838002
8691,BE25838002
8700,BE25737022
8710,BE25437017
8720,BE25737002
8730,BE25131003
8740,BE25737011
8750,BE25737021
8755,BE25737021
8760,BE25737022
8770,BE25636007
8780,BE25737010
8790,BE25434040
8791,BE25434040
8792,BE25434040
8793,BE25434040
8800,BE25636015
8810,BE25636011
8820,BE25131033
8830,BE25636006
8840,BE25636019
8850,BE25737020
8851,BE25737020
8860,BE25434025
8870,BE25636008
8880,BE25636010
8890,BE25636012
8900,BE25333011
8902,BE25333011
8904,BE25333011
8906,BE25333011
8908,BE25333011
8920,BE25333040
8930,BE25434027
8940,BE25333029
8950,BE25333039
8951,BE25333039
8952,BE25333039
8953,BE25333039
8954,BE25333039
8956,BE25333039
8957,BE25333016
8958,BE25333039
8970,BE25333021
8972,BE25833021
8978,BE25333021
8980,BE25333037
9000,BE23444021
9030,BE23444021
9031,BE23444021
9032,BE23444021
9040,BE23444021
9041,BE23444021
9042,BE23444021
9050,BE23444021
9051,BE23444021
9052,BE23444021
9060,BE23343018
9070,BE23444013
9080,BE23444087
9090,BE23444088
9100,BE23646021
9111,BE23646021
9112,BE23646021
9120,BE23646030
9130,BE23646030
9140,BE23646025
9150,BE23646030
9160,BE23646029
9170,BE23646020
9180,BE23446029
9185,BE23444087
9190,BE23646024
9200,BE23242006
9220,BE23242008
9230,BE23242025
9240,BE23242028
9250,BE23242023
9255,BE23242004
9260,BE23242026
9270,BE23242010
9280,BE23242011
9290,BE23242003
9300,BE23141002
9308,BE23141002
9310,BE23141002
9320,BE23141002
9340,BE23141034
9400,BE23141048
9401,BE23141048
9402,BE23141048
9403,BE23141048
9404,BE23141048
9406,BE23141048
9420,BE23141082
9450,BE23141024
9451,BE23141024
9470,BE23141011
9472,BE23141011
9473,BE23141011
9500,BE23141018
9506,BE23141018
9520,BE23141063
9521,BE23141063
9550,BE23141027
9551,BE23141027
9552,BE23141027
9570,BE23545063
9571,BE23545063
9572,BE23545063
9600,BE23545041
9620,BE23141081
9630,BE23545065
9636,BE23545065
9660,BE23545059
9661,BE23545059
9667,BE23545062
9680,BE23545064
9681,BE23545064
9688,BE23545064
9690,BE23545060
9700,BE23545035
9750,BE23545068
9770,BE23545068
9771,BE23545068
9772,BE23545068
9790,BE23545061
9800,BE23444083
9810,BE23444086
9820,BE23444088
9830,BE23444064
9831,BE23444064
9840,BE23444086
9850,BE23444083
9860,BE23444052
9870,BE23444081
9880,BE23444084
9881,BE23444084
9890,BE23444020
9900,BE23343005
9910,BE23444084
9920,BE23444085
9921,BE23444085
9930,BE23444085
9931,BE23444085
9932,BE23444085
9940,BE23444019
9950,BE23444085
9960,BE23343002
9961,BE23343002
9968,BE23343002
9970,BE23343007
9971,BE23343007
9980,BE23343014
9981,BE23343014
9982,BE23343014
9988,BE23343014
9990,BE23343010
9991,BE23343010
9992,BE23343010
